SENSE daaa 1 19-04-2019 12:01:31.189 T: 30.76319885253906 [C]; A:[-52, 58, 242]; H: 72.2623291015625
SENSE daab 1 19-04-2019 12:01:31.191 T: 31.51199913024902 [C]; A:[0, 0, 0]; H: 70.66778564453125
SENSE daac 1 19-04-2019 12:01:31.187 T: 30.88799858093261 [C]; A:[0, -4, 254]; H: 69.25634765625
SENSE daab 2 19-04-2019 12:01:31.879 T: 31.51199913024902 [C]; A:[-8, 12, 234]; H: 70.66778564453125
SENSE daac 2 19-04-2019 12:01:32.109 T: 30.88799858093261 [C]; A:[-4, 0, 248]; H: 69.25634765625
SENSE daab 3 19-04-2019 12:01:32.461 T: 31.51199913024902 [C]; A:[-8, 16, 232]; H: 70.66778564453125
SENSE daac 3 19-04-2019 12:01:32.681 T: 30.88799858093261 [C]; A:[0, 0, 252]; H: 69.25634765625
SENSE daab 4 19-04-2019 12:01:33.039 T: 31.51199913024902 [C]; A:[-6, 14, 236]; H: 70.66778564453125
SENSE daac 4 19-04-2019 12:01:33.253 T: 30.88799858093261 [C]; A:[0, 0, 246]; H: 69.225830078125
SENSE daab 5 19-04-2019 12:01:33.596 T: 31.51199913024902 [C]; A:[0, 14, 234]; H: 70.66778564453125
SENSE daac 5 19-04-2019 12:01:33.825 T: 30.88799858093261 [C]; A:[0, 0, 252]; H: 69.225830078125
SENSE daab 6 19-04-2019 12:01:34.173 T: 31.51199913024902 [C]; A:[0, 8, 242]; H: 70.66778564453125
SENSE daac 6 19-04-2019 12:01:34.398 T: 30.88799858093261 [C]; A:[0, -4, 248]; H: 69.225830078125
SENSE daab 7 19-04-2019 12:01:34.751 T: 31.51199913024902 [C]; A:[-6, 6, 240]; H: 70.66778564453125
SENSE daac 7 19-04-2019 12:01:34.976 T: 30.88799858093261 [C]; A:[0, 0, 246]; H: 69.225830078125
SENSE daab 8 19-04-2019 12:01:35.328 T: 31.51199913024902 [C]; A:[-8, 12, 240]; H: 70.66778564453125
SENSE daac 8 19-04-2019 12:01:35.552 T: 30.88799858093261 [C]; A:[2, 0, 246]; H: 69.225830078125
