SENSE daaa 1 24-04-2019 07:17:58.151 T: 30.3887996673584 [C]; A:[-26, 58, 192]; H: 69.927734375
SENSE daaa 2 24-04-2019 07:17:58.507 T: 30.3887996673584 [C]; A:[-30, 58, 192]; H: 69.927734375
SENSE daaa 3 24-04-2019 07:17:58.857 T: 30.3887996673584 [C]; A:[-26, 56, 190]; H: 69.897216796875
SENSE daaa 4 24-04-2019 07:17:59.167 T: 30.3887996673584 [C]; A:[-30, 58, 192]; H: 69.897216796875
SENSE daab 2 24-04-2019 07:17:58.744 T: 30.13919830322265 [C]; A:[-20, -60, 210]; H: 70.40838623046875
SENSE daaa 5 24-04-2019 07:17:59.597 T: 30.3887996673584 [C]; A:[-24, 56, 192]; H: 69.897216796875
SENSE daac 1 24-04-2019 07:17:58.598 T: 29.14079856872558 [C]; A:[0, 0, 0]; H: 72.08685302734375
SENSE daaa 6 24-04-2019 07:18:00.043 T: 30.3263988494873 [C]; A:[-28, 56, 204]; H: 69.927734375
SENSE daab 3 24-04-2019 07:17:59.414 T: 30.13919830322265 [C]; A:[-18, -64, 212]; H: 70.40838623046875
SENSE daad 2 24-04-2019 07:17:59.323 T: 29.95199966430664 [C]; A:[146, 54, 196]; H: 68.4781494140625
SENSE daac 3 24-04-2019 07:17:59.662 T: 29.14079856872558 [C]; A:[-32, 0, 228]; H: 72.0487060546875
SENSE daaa 7 24-04-2019 07:18:00.642 T: 30.3263988494873 [C]; A:[-28, 52, 196]; H: 69.897216796875
SENSE daaa 8 24-04-2019 07:18:00.998 T: 30.3887996673584 [C]; A:[-36, 62, 192]; H: 69.897216796875
SENSE daac 4 24-04-2019 07:18:00.134 T: 29.20319938659667 [C]; A:[-34, 0, 232]; H: 72.0181884765625
SENSE daaa 9 24-04-2019 07:18:01.473 T: 30.3887996673584 [C]; A:[-26, 58, 192]; H: 69.897216796875
SENSE daab 5 24-04-2019 07:18:00.375 T: 30.13919830322265 [C]; A:[-16, -64, 214]; H: 70.40838623046875
SENSE daaa 10 24-04-2019 07:18:01.918 T: 30.3263988494873 [C]; A:[-30, 62, 192]; H: 69.897216796875
SENSE daaa 11 24-04-2019 07:18:02.283 T: 30.3887996673584 [C]; A:[-30, 56, 192]; H: 69.897216796875
SENSE daaa 12 24-04-2019 07:18:02.663 T: 30.3263988494873 [C]; A:[-28, 54, 196]; H: 69.927734375
SENSE daaa 13 24-04-2019 07:18:03.023 T: 30.3263988494873 [C]; A:[-26, 56, 192]; H: 69.927734375
