SENSE daaa 1 24-04-2019 07:06:48.674 T: 30.57599830627441 [C]; A:[-34, 56, 198]; H: 69.50811767578125
SENSE daaa 2 24-04-2019 07:06:49.029 T: 30.57599830627441 [C]; A:[-26, 48, 188]; H: 69.50811767578125
SENSE daaa 3 24-04-2019 07:06:49.384 T: 30.57599830627441 [C]; A:[-30, 54, 198]; H: 69.50811767578125
SENSE daaa 4 24-04-2019 07:06:49.699 T: 30.57599830627441 [C]; A:[-30, 58, 192]; H: 69.50811767578125
SENSE daab 2 24-04-2019 07:06:49.271 T: 30.0767993927002 [C]; A:[-16, -64, 214]; H: 70.53045654296875
SENSE daaa 5 24-04-2019 07:06:50.124 T: 30.57599830627441 [C]; A:[-32, 56, 194]; H: 69.50811767578125
SENSE daac 1 24-04-2019 07:06:49.127 T: 29.7023983001709 [C]; A:[0, 0, 0]; H: 70.9195556640625
SENSE daaa 6 24-04-2019 07:06:50.565 T: 30.57599830627441 [C]; A:[-32, 58, 186]; H: 69.531005859375
SENSE daaa 7 24-04-2019 07:06:50.925 T: 30.57599830627441 [C]; A:[-30, 56, 192]; H: 69.50811767578125
SENSE daad 2 24-04-2019 07:06:49.852 T: 30.45119857788085 [C]; A:[148, 56, 194]; H: 67.05908203125
SENSE daaa 8 24-04-2019 07:06:51.360 T: 30.57599830627441 [C]; A:[-28, 56, 192]; H: 69.50811767578125
SENSE daab 4 24-04-2019 07:06:50.383 T: 30.13919830322265 [C]; A:[-24, -58, 208]; H: 70.53045654296875
SENSE daaa 9 24-04-2019 07:06:51.790 T: 30.57599830627441 [C]; A:[-26, 52, 196]; H: 69.50811767578125
SENSE daaa 10 24-04-2019 07:06:52.145 T: 30.57599830627441 [C]; A:[-32, 60, 192]; H: 69.50811767578125
SENSE daaa 11 24-04-2019 07:06:52.511 T: 30.6383991241455 [C]; A:[-30, 58, 196]; H: 69.50811767578125
SENSE daaa 12 24-04-2019 07:06:52.825 T: 30.57599830627441 [C]; A:[-30, 54, 192]; H: 69.50811767578125
SENSE daab 6 24-04-2019 07:06:51.176 T: 30.0767993927002 [C]; A:[-18, -62, 224]; H: 70.59149169921875
SENSE daaa 13 24-04-2019 07:06:53.270 T: 30.57599830627441 [C]; A:[-24, 54, 198]; H: 69.50811767578125
SENSE daac 6 24-04-2019 07:06:51.439 T: 29.764799118042 [C]; A:[-32, -4, 228]; H: 70.8585205078125
SENSE daaa 14 24-04-2019 07:06:53.671 T: 30.57599830627441 [C]; A:[-30, 58, 198]; H: 69.50811767578125
SENSE daaa 15 24-04-2019 07:06:54.026 T: 30.57599830627441 [C]; A:[-28, 56, 192]; H: 69.531005859375
SENSE daad 6 24-04-2019 07:06:51.686 T: 30.45119857788085 [C]; A:[150, 56, 198]; H: 67.028564453125
SENSE daaa 16 24-04-2019 07:06:54.471 T: 30.57599830627441 [C]; A:[-28, 58, 192]; H: 69.50811767578125
SENSE daac 7 24-04-2019 07:06:51.944 T: 29.764799118042 [C]; A:[-36, 0, 224]; H: 70.9195556640625
SENSE daab 9 24-04-2019 07:06:52.502 T: 30.0767993927002 [C]; A:[-18, -60, 216]; H: 71.1026611328125
SENSE daaa 17 24-04-2019 07:06:54.976 T: 30.57599830627441 [C]; A:[-32, 56, 192]; H: 69.531005859375
SENSE daaa 18 24-04-2019 07:06:55.356 T: 30.57599830627441 [C]; A:[-32, 56, 190]; H: 69.531005859375
SENSE daab 10 24-04-2019 07:06:53.081 T: 30.0767993927002 [C]; A:[-16, -60, 216]; H: 71.301025390625
SENSE daaa 19 24-04-2019 07:06:55.796 T: 30.57599830627441 [C]; A:[-34, 54, 192]; H: 69.531005859375
SENSE daaa 20 24-04-2019 07:06:56.151 T: 30.57599830627441 [C]; A:[-28, 58, 198]; H: 69.531005859375
SENSE daaa 21 24-04-2019 07:06:56.541 T: 30.57599830627441 [C]; A:[-32, 58, 196]; H: 69.531005859375
SENSE daac 11 24-04-2019 07:06:54.118 T: 29.764799118042 [C]; A:[-38, -6, 228]; H: 71.04925537109375
SENSE daaa 23 24-04-2019 07:06:57.302 T: 30.57599830627441 [C]; A:[-28, 56, 192]; H: 69.531005859375
SENSE daab 13 24-04-2019 07:06:54.718 T: 30.13919830322265 [C]; A:[-16, -62, 212]; H: 71.52227783203125
SENSE daaa 24 24-04-2019 07:06:57.692 T: 30.57599830627441 [C]; A:[-30, 58, 192]; H: 69.531005859375
SENSE daaa 25 24-04-2019 07:06:58.007 T: 30.51359939575195 [C]; A:[-32, 54, 192]; H: 69.531005859375
SENSE daaa 26 24-04-2019 07:06:58.367 T: 30.57599830627441 [C]; A:[-32, 54, 194]; H: 69.531005859375
SENSE daab 15 24-04-2019 07:06:55.616 T: 30.0767993927002 [C]; A:[-16, -62, 220]; H: 71.55279541015625
SENSE daac 15 24-04-2019 07:06:55.860 T: 29.7023983001709 [C]; A:[-36, 2, 234]; H: 71.14080810546875
SENSE daad 15 24-04-2019 07:06:56.132 T: 30.51359939575195 [C]; A:[150, 58, 196]; H: 66.97515869140625
SENSE daaa 27 24-04-2019 07:06:58.952 T: 30.57599830627441 [C]; A:[-26, 56, 194]; H: 69.531005859375
SENSE daaa 28 24-04-2019 07:06:59.307 T: 30.57599830627441 [C]; A:[-30, 58, 190]; H: 69.531005859375
SENSE daaa 29 24-04-2019 07:06:59.663 T: 30.57599830627441 [C]; A:[-26, 54, 198]; H: 69.531005859375
SENSE daac 17 24-04-2019 07:06:57.072 T: 29.764799118042 [C]; A:[-34, 0, 224]; H: 71.178955078125
SENSE daad 16 24-04-2019 07:06:56.956 T: 30.51359939575195 [C]; A:[148, 60, 198]; H: 66.97515869140625
SENSE daad 17 24-04-2019 07:06:57.332 T: 30.51359939575195 [C]; A:[154, 56, 198]; H: 66.97515869140625
SENSE daab 20 24-04-2019 07:06:58.255 T: 30.0767993927002 [C]; A:[-20, -60, 216]; H: 71.52227783203125
SENSE daaa 30 24-04-2019 07:07:00.278 T: 30.57599830627441 [C]; A:[-30, 58, 192]; H: 69.531005859375
SENSE daab 21 24-04-2019 07:06:58.621 T: 30.0767993927002 [C]; A:[-18, -60, 218]; H: 71.52227783203125
SENSE daaa 31 24-04-2019 07:07:00.713 T: 30.57599830627441 [C]; A:[-26, 54, 174]; H: 69.531005859375
SENSE daaa 32 24-04-2019 07:07:01.068 T: 30.57599830627441 [C]; A:[-26, 56, 194]; H: 69.531005859375
SENSE daaa 33 24-04-2019 07:07:01.438 T: 30.57599830627441 [C]; A:[-26, 56, 192]; H: 69.531005859375
SENSE daad 19 24-04-2019 07:06:58.735 T: 30.45119857788085 [C]; A:[156, 54, 196]; H: 66.97515869140625
