SENSE daaa 1 20-04-2019 13:53:30.737 T: 31.69919967651367 [C]; A:[0, 0, 0]; H: 65.502685546875
SENSE daaa 2 20-04-2019 13:53:31.308 T: 31.63679885864257 [C]; A:[146, -102, 164]; H: 65.502685546875
SENSE daaa 3 20-04-2019 13:53:31.890 T: 31.69919967651367 [C]; A:[150, -106, 162]; H: 65.502685546875
SENSE daab 1 20-04-2019 13:53:30.973 T: 33.88319778442382 [C]; A:[0, 0, 0]; H: 61.8253173828125
SENSE daaa 4 20-04-2019 13:53:32.540 T: 31.69919967651367 [C]; A:[148, -104, 166]; H: 65.502685546875
SENSE daaa 5 20-04-2019 13:53:33.137 T: 31.69919967651367 [C]; A:[148, -106, 160]; H: 65.502685546875
SENSE daaa 6 20-04-2019 13:53:33.718 T: 31.69919967651367 [C]; A:[146, -100, 160]; H: 65.502685546875
SENSE daab 2 20-04-2019 13:53:31.554 T: 33.88319778442382 [C]; A:[-20, -44, 232]; H: 61.8253173828125
SENSE daaa 7 20-04-2019 13:53:34.373 T: 31.63679885864257 [C]; A:[146, -100, 154]; H: 65.502685546875
SENSE daaa 8 20-04-2019 13:53:34.955 T: 31.69919967651367 [C]; A:[148, -100, 162]; H: 65.502685546875
SENSE daaa 9 20-04-2019 13:53:35.531 T: 31.69919967651367 [C]; A:[146, -104, 162]; H: 65.502685546875
SENSE daab 3 20-04-2019 13:53:32.129 T: 33.88319778442382 [C]; A:[-26, -40, 230]; H: 61.8253173828125
SENSE daac 3 20-04-2019 13:53:32.235 T: 30.76319885253906 [C]; A:[-10, -26, 200]; H: 70.446533203125
SENSE daad 3 20-04-2019 13:53:32.348 T: 30.3887996673584 [C]; A:[38, -46, 238]; H: 67.8372802734375
SENSE daaa 10 20-04-2019 13:53:36.336 T: 31.69919967651367 [C]; A:[148, -104, 156]; H: 65.502685546875
SENSE daaa 11 20-04-2019 13:53:36.917 T: 31.69919967651367 [C]; A:[150, -98, 168]; H: 65.502685546875
SENSE daac 5 20-04-2019 13:53:33.486 T: 30.76319885253906 [C]; A:[-10, -30, 192]; H: 70.446533203125
SENSE daaa 12 20-04-2019 13:53:37.573 T: 31.69919967651367 [C]; A:[152, -106, 162]; H: 65.502685546875
SENSE daad 6 20-04-2019 13:53:34.179 T: 30.3887996673584 [C]; A:[42, -46, 238]; H: 67.8372802734375
SENSE daac 7 20-04-2019 13:53:34.721 T: 30.76319885253906 [C]; A:[-12, -30, 204]; H: 70.446533203125
SENSE daac 8 20-04-2019 13:53:35.299 T: 30.7007999420166 [C]; A:[-14, -28, 202]; H: 70.446533203125
SENSE daaa 13 20-04-2019 13:53:38.377 T: 31.69919967651367 [C]; A:[146, -102, 168]; H: 65.502685546875
SENSE daad 9 20-04-2019 13:53:36.003 T: 30.3887996673584 [C]; A:[34, -44, 240]; H: 67.8372802734375
SENSE daaa 14 20-04-2019 13:53:39.043 T: 31.69919967651367 [C]; A:[152, -104, 152]; H: 65.47216796875
SENSE daaa 15 20-04-2019 13:53:39.624 T: 31.69919967651367 [C]; A:[144, -104, 158]; H: 65.47216796875
SENSE daac 10 20-04-2019 13:53:36.680 T: 30.7007999420166 [C]; A:[-12, -28, 200]; H: 70.446533203125
SENSE daaa 16 20-04-2019 13:53:40.280 T: 31.76159858703613 [C]; A:[148, -100, 164]; H: 65.47216796875
SENSE daad 11 20-04-2019 13:53:37.385 T: 30.3887996673584 [C]; A:[34, -44, 244]; H: 67.8372802734375
SENSE daac 12 20-04-2019 13:53:37.915 T: 30.7007999420166 [C]; A:[-14, -32, 198]; H: 70.47705078125
SENSE daad 12 20-04-2019 13:53:38.035 T: 30.3887996673584 [C]; A:[36, -40, 246]; H: 67.78387451171875
