SENSE daaa 1 25-04-2019 04:58:41.155 T: 27.9552001953125 [C]; A:[-12, -16, 222]; H: 69.469970703125
SENSE daab 1 25-04-2019 04:58:41.144 T: 27.51840019226074 [C]; A:[10, -48, 234]; H: 70.82037353515625
SENSE daaa 2 25-04-2019 04:58:41.509 T: 27.9552001953125 [C]; A:[-16, -8, 230]; H: 69.43182373046875
SENSE daac 1 25-04-2019 04:58:41.358 T: 29.95199966430664 [C]; A:[0, 0, 0]; H: 68.066162109375
SENSE daab 2 25-04-2019 04:58:41.824 T: 27.5807991027832 [C]; A:[8, -38, 248]; H: 70.82037353515625
SENSE daaa 3 25-04-2019 04:58:41.901 T: 27.9552001953125 [C]; A:[-14, -8, 226]; H: 69.43182373046875
SENSE daaa 4 25-04-2019 04:58:42.328 T: 28.01759910583496 [C]; A:[-14, -8, 230]; H: 69.43182373046875
SENSE daab 3 25-04-2019 04:58:42.309 T: 27.5807991027832 [C]; A:[6, -40, 242]; H: 70.82037353515625
SENSE daac 2 25-04-2019 04:58:42.161 T: 29.88959884643554 [C]; A:[26, 18, 230]; H: 68.066162109375
SENSE daaa 5 25-04-2019 04:58:42.661 T: 27.9552001953125 [C]; A:[-20, -10, 224]; H: 69.43182373046875
SENSE daab 4 25-04-2019 04:58:42.746 T: 27.5807991027832 [C]; A:[6, -38, 248]; H: 70.82037353515625
SENSE daaa 6 25-04-2019 04:58:43.033 T: 27.9552001953125 [C]; A:[-16, -12, 230]; H: 69.43182373046875
SENSE daab 5 25-04-2019 04:58:43.265 T: 27.51840019226074 [C]; A:[6, -46, 246]; H: 70.82037353515625
SENSE daaa 7 25-04-2019 04:58:43.397 T: 27.9552001953125 [C]; A:[-14, -8, 230]; H: 69.43182373046875
SENSE daac 3 25-04-2019 04:58:43.111 T: 30.0143985748291 [C]; A:[28, 22, 234]; H: 68.01275634765625
SENSE daaa 8 25-04-2019 04:58:43.788 T: 27.9552001953125 [C]; A:[-16, -4, 230]; H: 69.43182373046875
SENSE daab 6 25-04-2019 04:58:43.725 T: 27.51840019226074 [C]; A:[6, -42, 240]; H: 70.82037353515625
SENSE daaa 9 25-04-2019 04:58:44.131 T: 27.9552001953125 [C]; A:[-10, -8, 226]; H: 69.43182373046875
SENSE daab 7 25-04-2019 04:58:44.230 T: 27.51840019226074 [C]; A:[6, -38, 242]; H: 70.82037353515625
SENSE daac 4 25-04-2019 04:58:44.071 T: 29.95199966430664 [C]; A:[30, 20, 230]; H: 67.95172119140625
SENSE daaa 10 25-04-2019 04:58:44.464 T: 27.9552001953125 [C]; A:[-16, -10, 230]; H: 69.43182373046875
SENSE daab 8 25-04-2019 04:58:44.671 T: 27.5807991027832 [C]; A:[6, -36, 246]; H: 70.82037353515625
SENSE daaa 11 25-04-2019 04:58:44.886 T: 27.9552001953125 [C]; A:[-16, -8, 230]; H: 69.43182373046875
SENSE daaa 12 25-04-2019 04:58:45.218 T: 27.9552001953125 [C]; A:[-14, -10, 232]; H: 69.43182373046875
SENSE daab 9 25-04-2019 04:58:45.156 T: 27.5807991027832 [C]; A:[2, -36, 240]; H: 70.82037353515625
SENSE daac 5 25-04-2019 04:58:45.011 T: 29.95199966430664 [C]; A:[28, 14, 228]; H: 67.8983154296875
SENSE daaa 13 25-04-2019 04:58:45.561 T: 27.9552001953125 [C]; A:[-14, -6, 224]; H: 69.43182373046875
