SENSE daaa 1 25-04-2019 04:24:54.364 T: 27.3311996459961 [C]; A:[-4, -6, 232]; H: 71.5909423828125
SENSE daab 1 25-04-2019 04:24:54.368 T: 27.20639991760253 [C]; A:[2, -40, 246]; H: 72.22418212890625
SENSE daaa 2 25-04-2019 04:24:54.718 T: 27.39359855651855 [C]; A:[-14, -6, 222]; H: 71.5909423828125
SENSE daac 1 25-04-2019 04:24:54.587 T: 30.20159912109375 [C]; A:[-8, 64, 232]; H: 67.822021484375
SENSE daab 2 25-04-2019 04:24:55.058 T: 27.20639991760253 [C]; A:[0, -34, 248]; H: 72.22418212890625
SENSE daaa 3 25-04-2019 04:24:55.130 T: 27.3311996459961 [C]; A:[-12, -8, 226]; H: 71.5909423828125
SENSE daaa 4 25-04-2019 04:24:55.567 T: 27.3311996459961 [C]; A:[-18, -8, 230]; H: 71.5909423828125
SENSE daab 3 25-04-2019 04:24:55.543 T: 27.20639991760253 [C]; A:[8, -40, 244]; H: 72.22418212890625
SENSE daac 2 25-04-2019 04:24:55.399 T: 30.26399993896484 [C]; A:[-14, 52, 234]; H: 67.8525390625
SENSE daaa 5 25-04-2019 04:24:55.900 T: 27.3311996459961 [C]; A:[-16, -12, 230]; H: 71.5909423828125
SENSE daab 4 25-04-2019 04:24:55.989 T: 27.20639991760253 [C]; A:[4, -38, 246]; H: 72.19366455078125
SENSE daaa 6 25-04-2019 04:24:56.272 T: 27.3311996459961 [C]; A:[-14, -8, 230]; H: 71.5909423828125
SENSE daab 5 25-04-2019 04:24:56.528 T: 27.20639991760253 [C]; A:[6, -38, 240]; H: 72.19366455078125
SENSE daaa 7 25-04-2019 04:24:56.625 T: 27.39359855651855 [C]; A:[-12, -14, 230]; H: 71.5909423828125
SENSE daac 3 25-04-2019 04:24:56.380 T: 30.26399993896484 [C]; A:[-6, 50, 224]; H: 67.79913330078125
SENSE daab 6 25-04-2019 04:24:56.969 T: 27.20639991760253 [C]; A:[4, -42, 246]; H: 72.19366455078125
SENSE daaa 8 25-04-2019 04:24:57.041 T: 27.3311996459961 [C]; A:[-14, -6, 228]; H: 71.5909423828125
SENSE daaa 9 25-04-2019 04:24:57.468 T: 27.3311996459961 [C]; A:[-12, -6, 232]; H: 71.5909423828125
SENSE daab 7 25-04-2019 04:24:57.454 T: 27.14399909973144 [C]; A:[4, -34, 246]; H: 72.19366455078125
SENSE daac 4 25-04-2019 04:24:57.310 T: 30.26399993896484 [C]; A:[-6, 50, 230]; H: 67.60076904296875
SENSE daaa 10 25-04-2019 04:24:57.801 T: 27.3311996459961 [C]; A:[-16, -8, 230]; H: 71.5909423828125
SENSE daab 8 25-04-2019 04:24:57.891 T: 27.20639991760253 [C]; A:[6, -40, 252]; H: 72.19366455078125
SENSE daaa 11 25-04-2019 04:24:58.164 T: 27.3311996459961 [C]; A:[-14, -10, 226]; H: 71.5909423828125
SENSE daab 9 25-04-2019 04:24:58.399 T: 27.20639991760253 [C]; A:[2, -36, 244]; H: 72.19366455078125
SENSE daaa 12 25-04-2019 04:24:58.497 T: 27.39359855651855 [C]; A:[-18, -8, 230]; H: 71.55279541015625
SENSE daac 5 25-04-2019 04:24:58.250 T: 30.26399993896484 [C]; A:[-10, 56, 224]; H: 67.455810546875
SENSE daab 10 25-04-2019 04:24:58.851 T: 27.20639991760253 [C]; A:[10, -42, 244]; H: 72.1402587890625
SENSE daaa 13 25-04-2019 04:24:58.919 T: 27.3311996459961 [C]; A:[-14, -12, 230]; H: 71.5909423828125
SENSE daaa 14 25-04-2019 04:24:59.366 T: 27.3311996459961 [C]; A:[-14, -4, 230]; H: 71.5909423828125
SENSE daab 11 25-04-2019 04:24:59.350 T: 27.20639991760253 [C]; A:[4, -40, 240]; H: 72.1402587890625
SENSE daac 6 25-04-2019 04:24:59.211 T: 30.26399993896484 [C]; A:[-6, 56, 230]; H: 67.3184814453125
SENSE daad 1 25-04-2019 04:24:54.702 T: 28.57919883728027 [C]; A:[-20, -12, 224]; H: 73.9407958984375
SENSE daaa 15 25-04-2019 04:24:59.708 T: 27.3311996459961 [C]; A:[-14, -6, 232]; H: 71.5909423828125
SENSE daac 7 25-04-2019 04:24:59.893 T: 30.26399993896484 [C]; A:[-8, 46, 228]; H: 67.2574462890625
SENSE daaa 16 25-04-2019 04:25:00.160 T: 27.3311996459961 [C]; A:[-16, -10, 238]; H: 71.5909423828125
SENSE daad 2 25-04-2019 04:25:00.115 T: 28.64159965515136 [C]; A:[-22, -12, 220]; H: 73.132080078125
SENSE daac 8 25-04-2019 04:25:00.305 T: 30.26399993896484 [C]; A:[-14, 54, 236]; H: 67.20404052734375
SENSE daaa 17 25-04-2019 04:25:00.493 T: 27.3311996459961 [C]; A:[-20, -8, 230]; H: 71.5909423828125
SENSE daad 3 25-04-2019 04:25:00.721 T: 28.57919883728027 [C]; A:[-26, -8, 226]; H: 73.04052734375
SENSE daaa 18 25-04-2019 04:25:00.885 T: 27.3311996459961 [C]; A:[-14, -10, 228]; H: 71.5909423828125
SENSE daac 9 25-04-2019 04:25:00.798 T: 30.26399993896484 [C]; A:[-10, 56, 236]; H: 67.150634765625
SENSE daaa 19 25-04-2019 04:25:01.297 T: 27.3311996459961 [C]; A:[-14, -12, 224]; H: 71.5909423828125
SENSE daad 4 25-04-2019 04:25:01.262 T: 28.64159965515136 [C]; A:[-24, -8, 224]; H: 72.97186279296875
SENSE daac 10 25-04-2019 04:25:01.370 T: 30.26399993896484 [C]; A:[-8, 54, 236]; H: 67.03619384765625
SENSE daaa 20 25-04-2019 04:25:01.656 T: 27.268798828125 [C]; A:[-18, -8, 234]; H: 71.5909423828125
SENSE daad 5 25-04-2019 04:25:01.788 T: 28.57919883728027 [C]; A:[-20, -12, 218]; H: 72.91082763671875
SENSE daac 11 25-04-2019 04:25:01.873 T: 30.26399993896484 [C]; A:[-20, 62, 228]; H: 66.9827880859375
SENSE daad 6 25-04-2019 04:25:02.324 T: 28.57919883728027 [C]; A:[-26, -8, 222]; H: 72.857421875
SENSE daac 12 25-04-2019 04:25:02.405 T: 30.26399993896484 [C]; A:[-10, 48, 244]; H: 66.86834716796875
SENSE daad 7 25-04-2019 04:25:02.870 T: 28.57919883728027 [C]; A:[-24, -8, 226]; H: 72.75823974609375
SENSE daac 13 25-04-2019 04:25:02.948 T: 30.26399993896484 [C]; A:[-14, 54, 234]; H: 66.80731201171875
SENSE daad 8 25-04-2019 04:25:03.411 T: 28.64159965515136 [C]; A:[-26, -8, 216]; H: 72.66668701171875
SENSE daac 14 25-04-2019 04:25:03.490 T: 30.26399993896484 [C]; A:[-8, 54, 232]; H: 66.74627685546875
SENSE daad 9 25-04-2019 04:25:03.957 T: 28.57919883728027 [C]; A:[-28, -8, 226]; H: 72.5980224609375
SENSE daac 15 25-04-2019 04:25:04.052 T: 30.26399993896484 [C]; A:[-12, 52, 226]; H: 66.68524169921875
SENSE daab 12 25-04-2019 04:25:04.686 T: 27.20639991760253 [C]; A:[4, -38, 246]; H: 72.08685302734375
SENSE daad 10 25-04-2019 04:25:04.468 T: 28.64159965515136 [C]; A:[-26, -8, 220]; H: 72.5369873046875
SENSE daab 13 25-04-2019 04:25:05.136 T: 27.268798828125 [C]; A:[6, -40, 244]; H: 72.05633544921875
SENSE daab 14 25-04-2019 04:25:05.631 T: 27.20639991760253 [C]; A:[12, -40, 248]; H: 72.05633544921875
SENSE daad 11 25-04-2019 04:25:05.560 T: 28.64159965515136 [C]; A:[-24, -8, 226]; H: 72.46832275390625
SENSE daab 15 25-04-2019 04:25:06.067 T: 27.20639991760253 [C]; A:[2, -42, 246]; H: 72.05633544921875
SENSE daab 16 25-04-2019 04:25:06.557 T: 27.20639991760253 [C]; A:[2, -40, 242]; H: 72.05633544921875
SENSE daad 12 25-04-2019 04:25:06.484 T: 28.64159965515136 [C]; A:[-18, -12, 220]; H: 72.46832275390625
SENSE daaa 21 25-04-2019 04:25:02.027 T: 27.3311996459961 [C]; A:[-10, -8, 232]; H: 71.5909423828125
SENSE daab 17 25-04-2019 04:25:06.998 T: 27.20639991760253 [C]; A:[8, -42, 246]; H: 72.02581787109375
SENSE daaa 22 25-04-2019 04:25:07.212 T: 27.3311996459961 [C]; A:[-14, -10, 224]; H: 71.5909423828125
SENSE daaa 23 25-04-2019 04:25:07.545 T: 27.3311996459961 [C]; A:[-16, -8, 232]; H: 71.5909423828125
SENSE daab 18 25-04-2019 04:25:07.483 T: 27.20639991760253 [C]; A:[4, -40, 242]; H: 72.02581787109375
