SENSE daaa 1 25-04-2019 04:36:57.665 T: 27.8927993774414 [C]; A:[-20, -16, 224]; H: 69.87432861328125
SENSE daab 1 25-04-2019 04:36:57.668 T: 27.8927993774414 [C]; A:[0, -10, 242]; H: 69.92010498046875
SENSE daaa 2 25-04-2019 04:36:58.019 T: 27.8927993774414 [C]; A:[-16, -10, 236]; H: 69.87432861328125
SENSE daac 1 25-04-2019 04:36:57.867 T: 30.76319885253906 [C]; A:[-14, 54, 236]; H: 65.441650390625
SENSE daab 2 25-04-2019 04:36:58.333 T: 27.9552001953125 [C]; A:[6, -38, 242]; H: 69.92010498046875
SENSE daaa 3 25-04-2019 04:36:58.401 T: 27.8927993774414 [C]; A:[-18, -4, 232]; H: 69.87432861328125
SENSE daaa 4 25-04-2019 04:36:58.823 T: 27.8927993774414 [C]; A:[-12, -4, 228]; H: 69.87432861328125
SENSE daab 3 25-04-2019 04:36:58.818 T: 27.8927993774414 [C]; A:[2, -34, 248]; H: 69.9429931640625
SENSE daac 2 25-04-2019 04:36:58.670 T: 30.76319885253906 [C]; A:[-12, 54, 230]; H: 65.47216796875
SENSE daaa 5 25-04-2019 04:36:59.156 T: 27.8927993774414 [C]; A:[-12, -4, 234]; H: 69.87432861328125
SENSE daab 4 25-04-2019 04:36:59.255 T: 27.8927993774414 [C]; A:[6, -38, 248]; H: 69.9429931640625
SENSE daaa 6 25-04-2019 04:36:59.528 T: 27.8927993774414 [C]; A:[-16, -4, 230]; H: 69.87432861328125
SENSE daab 5 25-04-2019 04:36:59.779 T: 27.8927993774414 [C]; A:[4, -40, 248]; H: 69.9429931640625
SENSE daaa 7 25-04-2019 04:36:59.876 T: 27.8927993774414 [C]; A:[-16, -8, 234]; H: 69.87432861328125
SENSE daac 3 25-04-2019 04:36:59.630 T: 30.76319885253906 [C]; A:[-8, 54, 232]; H: 65.441650390625
SENSE daaa 8 25-04-2019 04:37:00.278 T: 27.8927993774414 [C]; A:[-10, -8, 224]; H: 69.87432861328125
SENSE daab 6 25-04-2019 04:37:00.224 T: 27.8927993774414 [C]; A:[6, -40, 244]; H: 69.9429931640625
SENSE daaa 9 25-04-2019 04:37:00.610 T: 27.8927993774414 [C]; A:[-14, -12, 228]; H: 69.87432861328125
SENSE daab 7 25-04-2019 04:37:00.724 T: 27.8927993774414 [C]; A:[4, -40, 240]; H: 69.9735107421875
SENSE daac 4 25-04-2019 04:37:00.570 T: 30.7007999420166 [C]; A:[-10, 56, 230]; H: 65.32720947265625
SENSE daaa 10 25-04-2019 04:37:00.953 T: 27.8927993774414 [C]; A:[-12, -10, 232]; H: 69.87432861328125
SENSE daab 8 25-04-2019 04:37:01.160 T: 27.8927993774414 [C]; A:[6, -40, 248]; H: 69.9735107421875
SENSE daaa 11 25-04-2019 04:37:01.365 T: 27.8927993774414 [C]; A:[-6, -14, 234]; H: 69.87432861328125
SENSE daaa 12 25-04-2019 04:37:01.698 T: 27.8927993774414 [C]; A:[-16, -8, 234]; H: 69.87432861328125
SENSE daab 9 25-04-2019 04:37:01.645 T: 27.8927993774414 [C]; A:[10, -40, 244]; H: 69.9735107421875
