SENSE daaa 1 01-01-1970 07:00:49.504 T: 33.1343994140625 [C]; A:[0, 0, 0]; H: 63.7479248046875
SENSE daac 1 01-01-1970 07:00:33.415 T: 30.82559967041015 [C]; A:[0, 0, 0]; H: 68.0509033203125
SENSE daaa 2 01-01-1970 07:00:49.861 T: 33.0719985961914 [C]; A:[20, -28, 238]; H: 63.7174072265625
SENSE daac 2 01-01-1970 07:00:33.773 T: 30.76319885253906 [C]; A:[132, -56, 192]; H: 68.0509033203125
SENSE daab 1 01-01-1970 07:00:16.489 T: 29.63999938964843 [C]; A:[0, 0, 0]; H: 69.84381103515625
SENSE daac 3 01-01-1970 07:00:34.131 T: 30.76319885253906 [C]; A:[126, -58, 192]; H: 68.0509033203125
SENSE daaa 3 01-01-1970 07:00:50.284 T: 33.1343994140625 [C]; A:[20, -24, 232]; H: 63.7174072265625
SENSE daab 2 01-01-1970 07:00:16.841 T: 29.63999938964843 [C]; A:[-42, -12, 246]; H: 69.84381103515625
SENSE daac 4 01-01-1970 07:00:34.483 T: 30.76319885253906 [C]; A:[134, -62, 192]; H: 68.0814208984375
SENSE daaa 4 01-01-1970 07:00:50.707 T: 33.1343994140625 [C]; A:[16, -30, 236]; H: 63.7174072265625
SENSE daab 3 01-01-1970 07:00:17.265 T: 29.63999938964843 [C]; A:[-46, -14, 240]; H: 69.84381103515625
SENSE daac 5 01-01-1970 07:00:34.841 T: 30.82559967041015 [C]; A:[128, -56, 192]; H: 68.0814208984375
SENSE daaa 5 01-01-1970 07:00:51.130 T: 33.0719985961914 [C]; A:[20, -28, 232]; H: 63.7174072265625
SENSE daad 3 01-01-1970 07:00:22.665 T: 30.13919830322265 [C]; A:[-32, 40, 198]; H: 72.08685302734375
SENSE daac 6 01-01-1970 07:00:35.268 T: 30.82559967041015 [C]; A:[128, -56, 186]; H: 68.0814208984375
SENSE daaa 6 01-01-1970 07:00:51.540 T: 33.0719985961914 [C]; A:[16, -30, 234]; H: 63.6868896484375
SENSE daaa 6 01-01-1970 07:00:51.540 T: 33.0719985961914 [C]; A:[16, -30, 234]; H: 63.6868896484375
SENSE daad 4 01-01-1970 07:00:23.023 T: 30.13919830322265 [C]; A:[-30, 44, 196]; H: 72.08685302734375
SENSE daaa 7 01-01-1970 07:00:51.906 T: 33.1343994140625 [C]; A:[22, -32, 236]; H: 63.6868896484375
SENSE daad 5 01-01-1970 07:00:23.376 T: 30.13919830322265 [C]; A:[-28, 42, 192]; H: 72.08685302734375
SENSE daac 8 01-01-1970 07:00:36.113 T: 30.82559967041015 [C]; A:[126, -52, 196]; H: 68.11956787109375
SENSE daaa 8 01-01-1970 07:00:52.260 T: 33.0719985961914 [C]; A:[20, -22, 230]; H: 63.6868896484375
SENSE daac 9 01-01-1970 07:00:36.470 T: 30.82559967041015 [C]; A:[128, -56, 190]; H: 68.11956787109375
SENSE daaa 9 01-01-1970 07:00:52.657 T: 33.0719985961914 [C]; A:[20, -26, 230]; H: 63.6563720703125
SENSE daac 10 01-01-1970 07:00:36.828 T: 30.82559967041015 [C]; A:[126, -56, 194]; H: 68.11956787109375
SENSE daaa 10 01-01-1970 07:00:53.011 T: 33.1343994140625 [C]; A:[20, -30, 238]; H: 63.6563720703125
SENSE daad 7 01-01-1970 07:00:24.225 T: 30.0767993927002 [C]; A:[-34, 40, 198]; H: 72.08685302734375
SENSE daab 8 01-01-1970 07:00:19.257 T: 29.63999938964843 [C]; A:[-46, -14, 250]; H: 69.87432861328125
SENSE daac 11 01-01-1970 07:00:37.250 T: 30.82559967041015 [C]; A:[126, -60, 192]; H: 68.11956787109375
