SENSE daaa 1 19-04-2019 11:21:30.768 T: 30.0767993927002 [C]; A:[-4, 8, 212]; H: 74.2764892578125
SENSE daac 1 19-04-2019 11:21:30.762 T: 29.7023983001709 [C]; A:[58, -98, 230]; H: 72.71246337890625
SENSE daad 1 19-04-2019 11:21:30.984 T: 30.3887996673584 [C]; A:[0, 0, 0]; H: 73.8797607421875
SENSE daac 2 19-04-2019 11:21:31.580 T: 29.7023983001709 [C]; A:[56, -96, 226]; H: 72.71246337890625
SENSE daac 3 19-04-2019 11:21:32.142 T: 29.764799118042 [C]; A:[54, -92, 224]; H: 72.71246337890625
SENSE daad 2 19-04-2019 11:21:31.921 T: 30.45119857788085 [C]; A:[-4, 138, 200]; H: 73.8797607421875
SENSE daac 4 19-04-2019 11:21:32.620 T: 29.764799118042 [C]; A:[56, -92, 224]; H: 72.71246337890625
SENSE daac 5 19-04-2019 11:21:33.187 T: 29.7023983001709 [C]; A:[60, -92, 230]; H: 72.6895751953125
SENSE daad 3 19-04-2019 11:21:32.961 T: 30.3887996673584 [C]; A:[-4, 132, 200]; H: 73.85687255859375
SENSE daac 6 19-04-2019 11:21:33.675 T: 29.764799118042 [C]; A:[58, -88, 226]; H: 72.6590576171875
SENSE daac 7 19-04-2019 11:21:34.252 T: 29.764799118042 [C]; A:[52, -92, 222]; H: 72.6285400390625
SENSE daad 4 19-04-2019 11:21:34.021 T: 30.3887996673584 [C]; A:[-4, 138, 202]; H: 73.82635498046875
SENSE daac 8 19-04-2019 11:21:34.730 T: 29.764799118042 [C]; A:[52, -94, 224]; H: 72.60565185546875
SENSE daac 9 19-04-2019 11:21:35.307 T: 29.7023983001709 [C]; A:[56, -94, 222]; H: 72.60565185546875
SENSE daad 5 19-04-2019 11:21:35.076 T: 30.3887996673584 [C]; A:[-4, 134, 194]; H: 73.82635498046875
SENSE daab 1 19-04-2019 11:21:30.964 T: 29.764799118042 [C]; A:[0, 0, 0]; H: 76.02362060546875
SENSE daaa 2 19-04-2019 11:21:31.355 T: 30.13919830322265 [C]; A:[-6, 16, 218]; H: 74.2764892578125
SENSE daad 6 19-04-2019 11:21:36.096 T: 30.3887996673584 [C]; A:[-6, 136, 196]; H: 73.82635498046875
SENSE daaa 3 19-04-2019 11:21:36.714 T: 30.0767993927002 [C]; A:[6, 30, 214]; H: 74.2764892578125
SENSE daad 7 19-04-2019 11:21:36.933 T: 30.45119857788085 [C]; A:[-4, 134, 200]; H: 73.79583740234375
SENSE daaa 4 19-04-2019 11:21:37.280 T: 30.13919830322265 [C]; A:[-6, 38, 216]; H: 74.2764892578125
SENSE daad 8 19-04-2019 11:21:37.504 T: 30.45119857788085 [C]; A:[-4, 136, 194]; H: 73.79583740234375
SENSE daaa 5 19-04-2019 11:21:37.877 T: 30.13919830322265 [C]; A:[-6, 38, 214]; H: 74.2764892578125
SENSE daad 9 19-04-2019 11:21:38.077 T: 30.45119857788085 [C]; A:[0, 134, 202]; H: 73.77294921875
SENSE daaa 6 19-04-2019 11:21:38.438 T: 30.0767993927002 [C]; A:[-4, 38, 218]; H: 74.2764892578125
SENSE daad 10 19-04-2019 11:21:38.654 T: 30.45119857788085 [C]; A:[-6, 136, 200]; H: 73.77294921875
SENSE daaa 7 19-04-2019 11:21:39.014 T: 30.13919830322265 [C]; A:[-10, 34, 222]; H: 74.2764892578125
SENSE daad 11 19-04-2019 11:21:39.231 T: 30.45119857788085 [C]; A:[0, 134, 200]; H: 73.77294921875
SENSE daaa 8 19-04-2019 11:21:39.580 T: 30.13919830322265 [C]; A:[-10, 40, 224]; H: 74.2764892578125
SENSE daad 12 19-04-2019 11:21:39.808 T: 30.45119857788085 [C]; A:[0, 140, 194]; H: 73.77294921875
SENSE daaa 9 19-04-2019 11:21:40.156 T: 30.0767993927002 [C]; A:[-6, 36, 216]; H: 74.2764892578125
SENSE daad 13 19-04-2019 11:21:40.376 T: 30.45119857788085 [C]; A:[0, 134, 200]; H: 73.77294921875
SENSE daac 10 19-04-2019 11:21:35.770 T: 29.7023983001709 [C]; A:[56, -94, 230]; H: 72.57513427734375
SENSE daad 14 19-04-2019 11:21:40.944 T: 30.45119857788085 [C]; A:[-6, 132, 204]; H: 73.742431640625
SENSE daab 2 19-04-2019 11:21:36.406 T: 29.82719993591308 [C]; A:[-4, 2, 204]; H: 76.061767578125
SENSE daac 11 19-04-2019 11:21:41.273 T: 29.764799118042 [C]; A:[56, -94, 220]; H: 72.60565185546875
SENSE daab 3 19-04-2019 11:21:41.812 T: 29.88959884643554 [C]; A:[-4, 0, 204]; H: 76.061767578125
SENSE daac 12 19-04-2019 11:21:42.051 T: 29.764799118042 [C]; A:[54, -96, 224]; H: 72.60565185546875
SENSE daab 4 19-04-2019 11:21:42.393 T: 29.88959884643554 [C]; A:[-10, 2, 206]; H: 76.03125
SENSE daac 13 19-04-2019 11:21:42.619 T: 29.764799118042 [C]; A:[54, -90, 224]; H: 72.60565185546875
SENSE daab 5 19-04-2019 11:21:42.968 T: 29.82719993591308 [C]; A:[-10, 2, 206]; H: 76.03125
SENSE daac 14 19-04-2019 11:21:43.191 T: 29.764799118042 [C]; A:[60, -98, 220]; H: 72.60565185546875
SENSE daab 6 19-04-2019 11:21:43.538 T: 29.82719993591308 [C]; A:[-8, 6, 198]; H: 76.03125
SENSE daac 15 19-04-2019 11:21:43.763 T: 29.764799118042 [C]; A:[58, -94, 226]; H: 72.60565185546875
SENSE daab 7 19-04-2019 11:21:44.104 T: 29.82719993591308 [C]; A:[-8, 2, 202]; H: 76.03125
SENSE daac 16 19-04-2019 11:21:44.331 T: 29.764799118042 [C]; A:[56, -94, 220]; H: 72.60565185546875
SENSE daab 8 19-04-2019 11:21:44.673 T: 29.82719993591308 [C]; A:[-10, 6, 206]; H: 76.03125
SENSE daac 17 19-04-2019 11:21:44.903 T: 29.764799118042 [C]; A:[56, -88, 234]; H: 72.57513427734375
SENSE daab 9 19-04-2019 11:21:45.243 T: 29.82719993591308 [C]; A:[-4, 0, 206]; H: 76.00836181640625
SENSE daaa 10 19-04-2019 11:21:40.723 T: 30.13919830322265 [C]; A:[-4, 36, 216]; H: 74.2764892578125
