SENSE daaa 1 20-04-2019 14:16:30.708 T: 32.57279968261718 [C]; A:[0, 0, 0]; H: 64.8160400390625
SENSE daac 1 20-04-2019 14:16:30.705 T: 30.57599830627441 [C]; A:[0, 0, 0]; H: 68.36370849609375
SENSE daaa 2 20-04-2019 14:16:31.068 T: 32.57279968261718 [C]; A:[24, -34, 234]; H: 64.8160400390625
SENSE daac 2 20-04-2019 14:16:31.069 T: 30.6383991241455 [C]; A:[128, -58, 192]; H: 68.33319091796875
SENSE daab 1 20-04-2019 14:16:30.954 T: 29.7023983001709 [C]; A:[0, 0, 0]; H: 69.84381103515625
SENSE daac 3 20-04-2019 14:16:31.432 T: 30.57599830627441 [C]; A:[132, -54, 190]; H: 68.33319091796875
SENSE daaa 3 20-04-2019 14:16:31.491 T: 32.5103988647461 [C]; A:[18, -24, 234]; H: 64.7855224609375
SENSE daab 2 20-04-2019 14:16:31.306 T: 29.7023983001709 [C]; A:[-42, -12, 244]; H: 69.8209228515625
SENSE daac 4 20-04-2019 14:16:31.785 T: 30.57599830627441 [C]; A:[132, -54, 192]; H: 68.33319091796875
SENSE daaa 4 20-04-2019 14:16:31.934 T: 32.57279968261718 [C]; A:[26, -32, 230]; H: 64.7855224609375
SENSE daad 2 20-04-2019 14:16:31.309 T: 30.13919830322265 [C]; A:[-30, 38, 196]; H: 72.338623046875
SENSE daab 3 20-04-2019 14:16:31.745 T: 29.7023983001709 [C]; A:[-38, -16, 244]; H: 69.8209228515625
SENSE daac 5 20-04-2019 14:16:32.222 T: 30.57599830627441 [C]; A:[134, -50, 194]; H: 68.33319091796875
SENSE daaa 5 20-04-2019 14:16:32.367 T: 32.57279968261718 [C]; A:[14, -32, 234]; H: 64.7855224609375
SENSE daab 4 20-04-2019 14:16:32.177 T: 29.764799118042 [C]; A:[-38, -18, 248]; H: 69.8209228515625
SENSE daac 6 20-04-2019 14:16:32.614 T: 30.6383991241455 [C]; A:[130, -52, 184]; H: 68.33319091796875
SENSE daaa 6 20-04-2019 14:16:32.810 T: 32.57279968261718 [C]; A:[24, -32, 234]; H: 64.7855224609375
SENSE daad 4 20-04-2019 14:16:32.028 T: 30.13919830322265 [C]; A:[-32, 40, 198]; H: 72.30810546875
SENSE daac 7 20-04-2019 14:16:33.051 T: 30.57599830627441 [C]; A:[132, -52, 186]; H: 68.33319091796875
SENSE daaa 7 20-04-2019 14:16:33.168 T: 32.57279968261718 [C]; A:[20, -32, 236]; H: 64.7550048828125
SENSE daad 5 20-04-2019 14:16:32.459 T: 30.13919830322265 [C]; A:[-34, 40, 194]; H: 72.30810546875
SENSE daab 5 20-04-2019 14:16:32.621 T: 29.764799118042 [C]; A:[-38, -18, 248]; H: 69.8209228515625
SENSE daaa 8 20-04-2019 14:16:33.601 T: 32.57279968261718 [C]; A:[22, -32, 232]; H: 64.7550048828125
SENSE daad 6 20-04-2019 14:16:32.856 T: 30.20159912109375 [C]; A:[-26, 40, 200]; H: 72.30810546875
SENSE daac 9 20-04-2019 14:16:33.891 T: 30.57599830627441 [C]; A:[130, -56, 196]; H: 68.2950439453125
SENSE daaa 9 20-04-2019 14:16:33.959 T: 32.57279968261718 [C]; A:[24, -32, 238]; H: 64.7550048828125
SENSE daab 7 20-04-2019 14:16:33.412 T: 29.764799118042 [C]; A:[-40, -10, 240]; H: 69.7904052734375
SENSE daac 10 20-04-2019 14:16:34.244 T: 30.6383991241455 [C]; A:[132, -50, 188]; H: 68.2950439453125
SENSE daab 8 20-04-2019 14:16:33.846 T: 29.764799118042 [C]; A:[-40, -14, 240]; H: 69.7904052734375
SENSE daac 11 20-04-2019 14:16:34.601 T: 30.6383991241455 [C]; A:[132, -52, 186]; H: 68.2950439453125
SENSE daaa 11 20-04-2019 14:16:34.779 T: 32.57279968261718 [C]; A:[22, -26, 234]; H: 64.7550048828125
SENSE daad 8 20-04-2019 14:16:33.696 T: 30.13919830322265 [C]; A:[-30, 42, 196]; H: 72.28521728515625
SENSE daab 9 20-04-2019 14:16:34.198 T: 29.7023983001709 [C]; A:[-42, -16, 248]; H: 69.7904052734375
SENSE daaa 12 20-04-2019 14:16:35.208 T: 32.57279968261718 [C]; A:[24, -30, 230]; H: 64.7550048828125
SENSE daac 13 20-04-2019 14:16:35.376 T: 30.57599830627441 [C]; A:[134, -52, 194]; H: 68.33319091796875
SENSE daab 10 20-04-2019 14:16:34.585 T: 29.764799118042 [C]; A:[-44, -14, 248]; H: 69.7904052734375
SENSE daaa 13 20-04-2019 14:16:35.641 T: 32.57279968261718 [C]; A:[24, -32, 232]; H: 64.7550048828125
SENSE daad 10 20-04-2019 14:16:34.481 T: 30.20159912109375 [C]; A:[-30, 44, 198]; H: 72.28521728515625
SENSE daab 11 20-04-2019 14:16:35.018 T: 29.764799118042 [C]; A:[-46, -10, 248]; H: 69.7904052734375
SENSE daac 14 20-04-2019 14:16:35.818 T: 30.57599830627441 [C]; A:[130, -50, 192]; H: 68.33319091796875
SENSE daad 11 20-04-2019 14:16:34.850 T: 30.13919830322265 [C]; A:[-32, 44, 194]; H: 72.25469970703125
SENSE daab 12 20-04-2019 14:16:35.453 T: 29.764799118042 [C]; A:[-42, -12, 240]; H: 69.7598876953125
SENSE daac 15 20-04-2019 14:16:36.265 T: 30.6383991241455 [C]; A:[130, -52, 192]; H: 68.33319091796875
SENSE daaa 15 20-04-2019 14:16:36.472 T: 32.5103988647461 [C]; A:[22, -32, 232]; H: 64.7550048828125
SENSE daad 12 20-04-2019 14:16:35.257 T: 30.20159912109375 [C]; A:[-32, 42, 194]; H: 72.25469970703125
SENSE daac 16 20-04-2019 14:16:36.703 T: 30.6383991241455 [C]; A:[134, -50, 190]; H: 68.2950439453125
SENSE daaa 16 20-04-2019 14:16:36.830 T: 32.57279968261718 [C]; A:[20, -32, 230]; H: 64.73211669921875
SENSE daad 13 20-04-2019 14:16:35.621 T: 30.20159912109375 [C]; A:[-30, 38, 196]; H: 72.25469970703125
SENSE daab 13 20-04-2019 14:16:35.887 T: 29.764799118042 [C]; A:[-40, -16, 254]; H: 69.7598876953125
SENSE daac 17 20-04-2019 14:16:37.160 T: 30.6383991241455 [C]; A:[132, -50, 192]; H: 68.2950439453125
SENSE daac 17 20-04-2019 14:16:37.160 T: 30.6383991241455 [C]; A:[132, -50, 192]; H: 68.2950439453125
SENSE daaa 17 20-04-2019 14:16:37.263 T: 32.57279968261718 [C]; A:[28, -32, 234]; H: 64.73211669921875
SENSE daaa 18 20-04-2019 14:16:37.656 T: 32.57279968261718 [C]; A:[16, -32, 234]; H: 64.73211669921875
SENSE daad 14 20-04-2019 14:16:36.072 T: 30.13919830322265 [C]; A:[-32, 38, 198]; H: 72.22418212890625
SENSE daad 15 20-04-2019 14:16:36.508 T: 30.13919830322265 [C]; A:[-32, 42, 194]; H: 72.22418212890625
