SENSE daaa 1 01-01-1970 07:00:33.215 T: 26.14559936523437 [C]; A:[-6, 10, 234]; H: 64.35064697265625
SENSE daab 1 01-01-1970 07:00:30.569 T: 26.27039909362792 [C]; A:[2, -32, 242]; H: 62.7255859375
SENSE daac 1 01-01-1970 07:00:26.379 T: 26.64480018615722 [C]; A:[0, 0, 0]; H: 64.96099853515625
SENSE daad 1 01-01-1970 07:00:35.751 T: 25.70879936218261 [C]; A:[6, 64, 196]; H: 67.7457275390625
SENSE daaa 2 01-01-1970 07:00:33.547 T: 26.14559936523437 [C]; A:[0, 10, 228]; H: 64.35064697265625
SENSE daab 2 01-01-1970 07:00:30.902 T: 26.27039909362792 [C]; A:[0, -30, 248]; H: 62.7255859375
SENSE daac 2 01-01-1970 07:00:26.712 T: 26.64480018615722 [C]; A:[0, 14, 234]; H: 64.96099853515625
SENSE daad 2 01-01-1970 07:00:36.083 T: 25.70879936218261 [C]; A:[0, 54, 196]; H: 67.7762451171875
SENSE daaa 3 01-01-1970 07:00:33.878 T: 26.20800018310546 [C]; A:[0, 6, 236]; H: 64.35064697265625
SENSE daab 3 01-01-1970 07:00:31.233 T: 26.27039909362792 [C]; A:[0, -34, 248]; H: 62.7255859375
SENSE daac 3 01-01-1970 07:00:27.044 T: 26.64480018615722 [C]; A:[0, 14, 226]; H: 64.96099853515625
SENSE daad 3 01-01-1970 07:00:36.415 T: 25.70879936218261 [C]; A:[2, 58, 192]; H: 67.7762451171875
SENSE daaa 4 01-01-1970 07:00:34.211 T: 26.14559936523437 [C]; A:[0, 8, 224]; H: 64.38116455078125
SENSE daab 4 01-01-1970 07:00:31.566 T: 26.27039909362792 [C]; A:[4, -36, 238]; H: 62.7255859375
SENSE daac 4 01-01-1970 07:00:27.376 T: 26.64480018615722 [C]; A:[0, 8, 236]; H: 64.9991455078125
SENSE daad 4 01-01-1970 07:00:36.747 T: 25.77120018005371 [C]; A:[-10, 64, 192]; H: 67.7762451171875
