SENSE daaa 1 20-04-2019 13:18:46.151 T: 33.25919723510742 [C]; A:[-80, 94, 214]; H: 63.4732666015625
SENSE daaa 2 20-04-2019 13:18:46.509 T: 33.1968002319336 [C]; A:[-72, 86, 208]; H: 63.4732666015625
SENSE daaa 3 20-04-2019 13:18:46.867 T: 33.25919723510742 [C]; A:[-68, 92, 216]; H: 63.4732666015625
SENSE daaa 4 20-04-2019 13:18:47.226 T: 33.1968002319336 [C]; A:[-70, 90, 218]; H: 63.4732666015625
SENSE daac 1 20-04-2019 13:18:46.594 T: 30.0143985748291 [C]; A:[0, 0, 0]; H: 72.66668701171875
SENSE daaa 5 20-04-2019 13:18:47.649 T: 33.25919723510742 [C]; A:[-64, 92, 216]; H: 63.4732666015625
SENSE daad 1 20-04-2019 13:18:46.837 T: 29.57759857177734 [C]; A:[0, 0, 0]; H: 70.28631591796875
SENSE daaa 6 20-04-2019 13:18:48.081 T: 33.25919723510742 [C]; A:[-64, 94, 200]; H: 63.4732666015625
SENSE daac 2 20-04-2019 13:18:47.050 T: 30.0143985748291 [C]; A:[2, -8, 196]; H: 72.66668701171875
SENSE daaa 9 20-04-2019 13:18:49.221 T: 33.25919723510742 [C]; A:[-68, 82, 206]; H: 63.4732666015625
SENSE daab 4 20-04-2019 13:18:47.893 T: 33.3839988708496 [C]; A:[0, -52, 220]; H: 64.0836181640625
SENSE daaa 10 20-04-2019 13:18:49.659 T: 33.25919723510742 [C]; A:[-60, 90, 224]; H: 63.4732666015625
SENSE daaa 11 20-04-2019 13:18:49.983 T: 33.25919723510742 [C]; A:[-62, 86, 218]; H: 63.4732666015625
SENSE daaa 12 20-04-2019 13:18:50.384 T: 33.1968002319336 [C]; A:[-64, 88, 216]; H: 63.5037841796875
SENSE daaa 13 20-04-2019 13:18:50.739 T: 33.1968002319336 [C]; A:[-60, 86, 220]; H: 63.5343017578125
SENSE daaa 14 20-04-2019 13:18:51.097 T: 33.1968002319336 [C]; A:[-60, 82, 214]; H: 63.5343017578125
SENSE daac 6 20-04-2019 13:18:48.990 T: 30.0143985748291 [C]; A:[0, 0, 194]; H: 72.66668701171875
SENSE daad 5 20-04-2019 13:18:48.877 T: 29.57759857177734 [C]; A:[16, -36, 248]; H: 70.25579833984375
SENSE daaa 15 20-04-2019 13:18:51.605 T: 33.25919723510742 [C]; A:[-56, 90, 212]; H: 63.5343017578125
SENSE daaa 16 20-04-2019 13:18:51.938 T: 33.1968002319336 [C]; A:[-64, 88, 222]; H: 63.5343017578125
SENSE daac 7 20-04-2019 13:18:49.424 T: 30.0143985748291 [C]; A:[4, -10, 202]; H: 72.66668701171875
SENSE daaa 17 20-04-2019 13:18:52.371 T: 33.1968002319336 [C]; A:[-60, 90, 210]; H: 63.5648193359375
SENSE daaa 18 20-04-2019 13:18:52.729 T: 33.25919723510742 [C]; A:[-60, 86, 208]; H: 63.5648193359375
SENSE daaa 19 20-04-2019 13:18:53.082 T: 33.25919723510742 [C]; A:[-64, 90, 220]; H: 63.5648193359375
SENSE daaa 20 20-04-2019 13:18:53.441 T: 33.25919723510742 [C]; A:[-64, 88, 216]; H: 63.5648193359375
SENSE daad 9 20-04-2019 13:18:50.669 T: 29.57759857177734 [C]; A:[14, -36, 252]; H: 70.23291015625
SENSE daac 10 20-04-2019 13:18:50.880 T: 30.0767993927002 [C]; A:[4, -8, 192]; H: 72.63616943359375
SENSE daaa 21 20-04-2019 13:18:53.949 T: 33.25919723510742 [C]; A:[-62, 86, 216]; H: 63.5648193359375
SENSE daab 12 20-04-2019 13:18:51.447 T: 33.3839988708496 [C]; A:[-6, -62, 224]; H: 64.48797607421875
SENSE daad 10 20-04-2019 13:18:51.135 T: 29.57759857177734 [C]; A:[12, -30, 244]; H: 70.23291015625
SENSE daad 12 20-04-2019 13:18:52.000 T: 29.57759857177734 [C]; A:[16, -34, 262]; H: 70.23291015625
SENSE daaa 22 20-04-2019 13:18:54.481 T: 33.25919723510742 [C]; A:[-64, 84, 210]; H: 63.5648193359375
SENSE daac 13 20-04-2019 13:18:52.457 T: 30.0143985748291 [C]; A:[0, -8, 206]; H: 72.63616943359375
SENSE daad 13 20-04-2019 13:18:52.705 T: 29.57759857177734 [C]; A:[12, -32, 248]; H: 70.23291015625
SENSE daaa 23 20-04-2019 13:18:54.983 T: 33.25919723510742 [C]; A:[-64, 88, 218]; H: 63.5648193359375
SENSE daaa 24 20-04-2019 13:18:55.337 T: 33.25919723510742 [C]; A:[-62, 88, 218]; H: 63.5648193359375
SENSE daad 14 20-04-2019 13:18:53.166 T: 29.63999938964843 [C]; A:[10, -32, 248]; H: 70.23291015625
SENSE daac 15 20-04-2019 13:18:53.384 T: 30.0143985748291 [C]; A:[0, 0, 198]; H: 72.63616943359375
SENSE daaa 25 20-04-2019 13:18:55.850 T: 33.25919723510742 [C]; A:[-58, 88, 214]; H: 63.5648193359375
SENSE daac 16 20-04-2019 13:18:53.746 T: 30.0767993927002 [C]; A:[0, -8, 208]; H: 72.63616943359375
SENSE daad 15 20-04-2019 13:18:53.635 T: 29.57759857177734 [C]; A:[12, -34, 240]; H: 70.23291015625
SENSE daad 17 20-04-2019 13:18:54.471 T: 29.63999938964843 [C]; A:[10, -32, 244]; H: 70.23291015625
SENSE daaa 26 20-04-2019 13:18:56.431 T: 33.25919723510742 [C]; A:[-62, 86, 216]; H: 63.5648193359375
SENSE daab 18 20-04-2019 13:18:54.722 T: 33.3839988708496 [C]; A:[0, -62, 224]; H: 64.37353515625
SENSE daaa 27 20-04-2019 13:18:56.854 T: 33.32159805297851 [C]; A:[-60, 86, 212]; H: 63.5953369140625
SENSE daaa 28 20-04-2019 13:18:57.208 T: 33.32159805297851 [C]; A:[-64, 90, 212]; H: 63.5953369140625
SENSE daac 19 20-04-2019 13:18:55.420 T: 30.0767993927002 [C]; A:[2, -8, 192]; H: 72.61328125
SENSE daab 20 20-04-2019 13:18:55.646 T: 33.3839988708496 [C]; A:[0, -64, 222]; H: 64.16754150390625
SENSE daad 19 20-04-2019 13:18:55.665 T: 29.63999938964843 [C]; A:[12, -32, 252]; H: 70.23291015625
SENSE daac 20 20-04-2019 13:18:55.891 T: 30.0767993927002 [C]; A:[4, -12, 204]; H: 72.61328125
SENSE daaa 29 20-04-2019 13:18:57.862 T: 33.32159805297851 [C]; A:[-64, 88, 218]; H: 63.5953369140625
SENSE daab 21 20-04-2019 13:18:56.162 T: 33.3839988708496 [C]; A:[0, -64, 220]; H: 64.0531005859375
SENSE daab 21 20-04-2019 13:18:56.162 T: 33.3839988708496 [C]; A:[0, -64, 220]; H: 64.0531005859375
SENSE daaa 30 20-04-2019 13:18:58.312 T: 33.32159805297851 [C]; A:[-64, 86, 216]; H: 63.5648193359375
SENSE daaa 31 20-04-2019 13:18:58.666 T: 33.32159805297851 [C]; A:[-62, 86, 214]; H: 63.5648193359375
SENSE daab 22 20-04-2019 13:18:56.671 T: 33.3839988708496 [C]; A:[-4, -64, 220]; H: 63.90814208984375
SENSE daac 22 20-04-2019 13:18:56.914 T: 30.0767993927002 [C]; A:[2, -8, 196]; H: 72.582763671875
SENSE daad 22 20-04-2019 13:18:57.187 T: 29.57759857177734 [C]; A:[14, -32, 240]; H: 70.202392578125
SENSE daaa 32 20-04-2019 13:18:59.253 T: 33.32159805297851 [C]; A:[-58, 80, 214]; H: 63.5648193359375
SENSE daaa 33 20-04-2019 13:18:59.626 T: 33.32159805297851 [C]; A:[-64, 86, 202]; H: 63.5343017578125
SENSE daaa 34 20-04-2019 13:18:59.989 T: 33.32159805297851 [C]; A:[-60, 86, 220]; H: 63.5343017578125
SENSE daab 25 20-04-2019 13:18:58.119 T: 33.3839988708496 [C]; A:[0, -64, 224]; H: 63.55718994140625
SENSE daad 23 20-04-2019 13:18:57.652 T: 29.63999938964843 [C]; A:[10, -34, 248]; H: 70.202392578125
SENSE daac 25 20-04-2019 13:18:58.357 T: 30.0767993927002 [C]; A:[2, -4, 200]; H: 72.55224609375
SENSE daaa 35 20-04-2019 13:19:00.581 T: 33.32159805297851 [C]; A:[-64, 88, 210]; H: 63.5037841796875
SENSE daad 25 20-04-2019 13:18:58.602 T: 29.63999938964843 [C]; A:[12, -34, 244]; H: 70.202392578125
SENSE daaa 36 20-04-2019 13:19:01.014 T: 33.32159805297851 [C]; A:[-64, 90, 212]; H: 63.5037841796875
SENSE daaa 37 20-04-2019 13:19:01.377 T: 33.32159805297851 [C]; A:[-64, 88, 206]; H: 63.5037841796875
SENSE daad 26 20-04-2019 13:18:59.092 T: 29.57759857177734 [C]; A:[8, -26, 250]; H: 70.202392578125
SENSE daaa 38 20-04-2019 13:19:01.810 T: 33.32159805297851 [C]; A:[-62, 82, 218]; H: 63.4732666015625
SENSE daaa 39 20-04-2019 13:19:02.179 T: 33.32159805297851 [C]; A:[-60, 86, 214]; H: 63.4732666015625
SENSE daac 28 20-04-2019 13:18:59.761 T: 30.0767993927002 [C]; A:[2, -6, 198]; H: 72.52935791015625
SENSE daaa 40 20-04-2019 13:19:02.566 T: 33.3839988708496 [C]; A:[-66, 88, 212]; H: 63.4732666015625
SENSE daab 30 20-04-2019 13:19:00.316 T: 33.3839988708496 [C]; A:[0, -64, 224]; H: 63.244384765625
SENSE daaa 41 20-04-2019 13:19:02.989 T: 33.32159805297851 [C]; A:[-64, 86, 214]; H: 63.4427490234375
SENSE daaa 42 20-04-2019 13:19:03.303 T: 33.32159805297851 [C]; A:[-64, 90, 220]; H: 63.4427490234375
SENSE daab 31 20-04-2019 13:19:00.826 T: 33.3839988708496 [C]; A:[-6, -58, 222]; H: 63.183349609375
