SENSE daaa 1 22-04-2019 11:29:20.303 T: 26.20800018310546 [C]; A:[8, 0, 252]; H: 62.1610107421875
SENSE daab 1 22-04-2019 11:29:19.104 T: 28.2047996520996 [C]; A:[0, 0, 0]; H: 61.1844482421875
SENSE daaa 2 22-04-2019 11:29:20.768 T: 26.14559936523437 [C]; A:[0, 0, 250]; H: 62.1610107421875
SENSE daaa 3 22-04-2019 11:29:21.409 T: 26.20800018310546 [C]; A:[6, 0, 248]; H: 62.1610107421875
SENSE daaa 4 22-04-2019 11:29:21.867 T: 26.20800018310546 [C]; A:[2, 0, 246]; H: 62.1610107421875
SENSE daaa 5 22-04-2019 11:29:22.325 T: 26.20800018310546 [C]; A:[2, 0, 248]; H: 62.1610107421875
SENSE daaa 6 22-04-2019 11:29:22.783 T: 26.20800018310546 [C]; A:[8, 0, 248]; H: 62.1304931640625
SENSE daaa 7 22-04-2019 11:29:23.261 T: 26.20800018310546 [C]; A:[2, 6, 252]; H: 62.1304931640625
SENSE daaa 8 22-04-2019 11:29:23.715 T: 26.20800018310546 [C]; A:[6, 0, 250]; H: 62.1304931640625
SENSE daaa 9 22-04-2019 11:29:24.162 T: 26.20800018310546 [C]; A:[8, 0, 256]; H: 62.0999755859375
SENSE daaa 10 22-04-2019 11:29:24.610 T: 26.14559936523437 [C]; A:[2, 0, 254]; H: 62.0999755859375
SENSE daaa 11 22-04-2019 11:29:25.058 T: 26.20800018310546 [C]; A:[4, 2, 248]; H: 62.0999755859375
SENSE daac 1 22-04-2019 11:29:20.539 T: 27.3311996459961 [C]; A:[0, 64, 190]; H: 63.35882568359375
SENSE daaa 12 22-04-2019 11:29:25.506 T: 26.20800018310546 [C]; A:[0, 0, 246]; H: 62.0999755859375
SENSE daac 2 22-04-2019 11:29:25.835 T: 27.3311996459961 [C]; A:[0, 64, 196]; H: 63.35882568359375
SENSE daaa 13 22-04-2019 11:29:26.178 T: 26.20800018310546 [C]; A:[0, 0, 244]; H: 62.0999755859375
SENSE daac 3 22-04-2019 11:29:26.409 T: 27.3311996459961 [C]; A:[0, 64, 202]; H: 63.32830810546875
SENSE daab 2 22-04-2019 11:29:24.420 T: 28.2047996520996 [C]; A:[-56, -32, 164]; H: 61.2149658203125
SENSE daac 4 22-04-2019 11:29:26.984 T: 27.3311996459961 [C]; A:[-4, 60, 196]; H: 63.32830810546875
SENSE daab 3 22-04-2019 11:29:24.826 T: 28.2047996520996 [C]; A:[46, 94, 342]; H: 61.2149658203125
SENSE daab 4 22-04-2019 11:29:25.221 T: 28.2047996520996 [C]; A:[74, 94, 318]; H: 61.2149658203125
SENSE daab 5 22-04-2019 11:29:25.609 T: 28.2047996520996 [C]; A:[-56, -32, 164]; H: 61.2149658203125
SENSE daab 6 22-04-2019 11:29:25.993 T: 28.2047996520996 [C]; A:[16, 0, 200]; H: 61.2149658203125
SENSE daab 7 22-04-2019 11:29:26.378 T: 28.2047996520996 [C]; A:[-64, -32, 160]; H: 61.2149658203125
SENSE daab 8 22-04-2019 11:29:26.765 T: 28.26719856262207 [C]; A:[-48, 2, 286]; H: 61.2149658203125
SENSE daab 9 22-04-2019 11:29:27.166 T: 28.2047996520996 [C]; A:[0, 0, 176]; H: 61.2149658203125
SENSE daad 1 22-04-2019 11:29:20.668 T: 25.77120018005371 [C]; A:[0, 2, 236]; H: 64.73974609375
SENSE daab 10 22-04-2019 11:29:27.559 T: 28.26719856262207 [C]; A:[74, 94, 318]; H: 61.2149658203125
SENSE daaa 14 22-04-2019 11:29:26.766 T: 26.20800018310546 [C]; A:[0, -10, 246]; H: 62.0999755859375
SENSE daab 11 22-04-2019 11:29:28.004 T: 28.2047996520996 [C]; A:[-48, -32, 176]; H: 61.1844482421875
SENSE daad 2 22-04-2019 11:29:31.652 T: 25.77120018005371 [C]; A:[0, 0, 232]; H: 64.709228515625
SENSE daab 12 22-04-2019 11:29:28.455 T: 28.26719856262207 [C]; A:[34, 2, 192]; H: 61.1844482421875
SENSE daab 13 22-04-2019 11:29:28.894 T: 28.2047996520996 [C]; A:[16, 0, 192]; H: 61.1844482421875
SENSE daad 3 22-04-2019 11:29:32.800 T: 25.83359909057617 [C]; A:[0, 0, 228]; H: 64.6787109375
SENSE daab 14 22-04-2019 11:29:29.307 T: 28.26719856262207 [C]; A:[-32, 0, 160]; H: 61.1844482421875
SENSE daab 15 22-04-2019 11:29:29.764 T: 28.26719856262207 [C]; A:[-56, -32, 164]; H: 61.1539306640625
SENSE daad 4 22-04-2019 11:29:33.912 T: 25.83359909057617 [C]; A:[-4, 6, 240]; H: 64.65582275390625
SENSE daab 16 22-04-2019 11:29:30.165 T: 28.2047996520996 [C]; A:[32, 0, 192]; H: 61.1539306640625
SENSE daab 17 22-04-2019 11:29:30.610 T: 28.2047996520996 [C]; A:[70, 86, 292]; H: 61.1539306640625
SENSE daad 5 22-04-2019 11:29:34.990 T: 25.83359909057617 [C]; A:[0, 2, 236]; H: 64.62530517578125
SENSE daab 18 22-04-2019 11:29:31.018 T: 28.2047996520996 [C]; A:[-56, -32, 160]; H: 61.1539306640625
SENSE daab 19 22-04-2019 11:29:31.471 T: 28.26719856262207 [C]; A:[62, 110, 326]; H: 61.1234130859375
SENSE daad 6 22-04-2019 11:29:36.088 T: 25.83359909057617 [C]; A:[0, 0, 230]; H: 64.59478759765625
SENSE daab 20 22-04-2019 11:29:31.875 T: 28.2047996520996 [C]; A:[-40, -2, 286]; H: 61.1234130859375
SENSE daab 21 22-04-2019 11:29:32.325 T: 28.2047996520996 [C]; A:[16, 0, 192]; H: 61.1234130859375
SENSE daad 7 22-04-2019 11:29:37.186 T: 25.77120018005371 [C]; A:[-4, 4, 226]; H: 64.5718994140625
SENSE daab 22 22-04-2019 11:29:32.738 T: 28.2047996520996 [C]; A:[32, 4, 192]; H: 61.1234130859375
SENSE daab 23 22-04-2019 11:29:33.192 T: 28.2047996520996 [C]; A:[-48, -32, 170]; H: 61.1234130859375
SENSE daad 8 22-04-2019 11:29:38.249 T: 25.77120018005371 [C]; A:[-6, 4, 228]; H: 64.5413818359375
SENSE daab 24 22-04-2019 11:29:33.604 T: 28.2047996520996 [C]; A:[-64, -32, 172]; H: 61.1234130859375
SENSE daab 25 22-04-2019 11:29:34.052 T: 28.2047996520996 [C]; A:[-64, -40, 164]; H: 61.1234130859375
SENSE daad 9 22-04-2019 11:29:39.351 T: 25.83359909057617 [C]; A:[-4, 6, 224]; H: 64.5413818359375
SENSE daab 26 22-04-2019 11:29:34.453 T: 28.2047996520996 [C]; A:[62, 94, 326]; H: 61.1234130859375
SENSE daab 27 22-04-2019 11:29:34.913 T: 28.2047996520996 [C]; A:[-48, -32, 160]; H: 61.1234130859375
SENSE daad 10 22-04-2019 11:29:40.400 T: 25.77120018005371 [C]; A:[0, 4, 224]; H: 64.5413818359375
SENSE daab 28 22-04-2019 11:29:35.328 T: 28.2047996520996 [C]; A:[-40, -30, 202]; H: 61.0928955078125
SENSE daab 29 22-04-2019 11:29:35.777 T: 28.2047996520996 [C]; A:[-48, -14, 238]; H: 61.0928955078125
SENSE daad 11 22-04-2019 11:29:41.503 T: 25.83359909057617 [C]; A:[2, -4, 232]; H: 64.5108642578125
SENSE daad 12 22-04-2019 11:29:42.402 T: 25.83359909057617 [C]; A:[0, 0, 224]; H: 64.5108642578125
SENSE daac 5 22-04-2019 11:29:42.512 T: 27.268798828125 [C]; A:[0, 60, 196]; H: 63.35882568359375
SENSE daad 13 22-04-2019 11:29:42.998 T: 25.83359909057617 [C]; A:[0, 0, 232]; H: 64.5108642578125
SENSE daac 6 22-04-2019 11:29:43.227 T: 27.268798828125 [C]; A:[0, 62, 192]; H: 63.35882568359375
SENSE daad 14 22-04-2019 11:29:43.718 T: 25.77120018005371 [C]; A:[-6, 4, 230]; H: 64.5413818359375
SENSE daac 7 22-04-2019 11:29:43.942 T: 27.268798828125 [C]; A:[0, 64, 194]; H: 63.38934326171875
SENSE daad 15 22-04-2019 11:29:44.433 T: 25.83359909057617 [C]; A:[0, 0, 234]; H: 64.5108642578125
SENSE daac 8 22-04-2019 11:29:44.657 T: 27.3311996459961 [C]; A:[-4, 62, 194]; H: 63.38934326171875
SENSE daad 16 22-04-2019 11:29:45.153 T: 25.83359909057617 [C]; A:[0, 2, 228]; H: 64.5108642578125
SENSE daac 9 22-04-2019 11:29:45.392 T: 27.268798828125 [C]; A:[0, 62, 200]; H: 63.41986083984375
SENSE daad 17 22-04-2019 11:29:45.874 T: 25.83359909057617 [C]; A:[0, 0, 234]; H: 64.5108642578125
SENSE daac 10 22-04-2019 11:29:46.097 T: 27.268798828125 [C]; A:[0, 64, 192]; H: 63.41986083984375
SENSE daad 18 22-04-2019 11:29:46.594 T: 25.83359909057617 [C]; A:[0, 0, 236]; H: 64.5108642578125
SENSE daac 11 22-04-2019 11:29:46.802 T: 27.3311996459961 [C]; A:[-2, 64, 188]; H: 63.41986083984375
SENSE daad 19 22-04-2019 11:29:47.310 T: 25.83359909057617 [C]; A:[0, 4, 232]; H: 64.5108642578125
SENSE daac 12 22-04-2019 11:29:47.527 T: 27.3311996459961 [C]; A:[0, 58, 190]; H: 63.38934326171875
SENSE daad 20 22-04-2019 11:29:48.020 T: 25.83359909057617 [C]; A:[0, 0, 224]; H: 64.5108642578125
SENSE daac 13 22-04-2019 11:29:48.242 T: 27.3311996459961 [C]; A:[-4, 64, 198]; H: 63.38934326171875
SENSE daad 21 22-04-2019 11:29:48.740 T: 25.83359909057617 [C]; A:[0, 2, 234]; H: 64.5108642578125
SENSE daac 14 22-04-2019 11:29:48.967 T: 27.268798828125 [C]; A:[0, 64, 192]; H: 63.38934326171875
SENSE daad 22 22-04-2019 11:29:49.470 T: 25.83359909057617 [C]; A:[0, 8, 232]; H: 64.48797607421875
SENSE daac 15 22-04-2019 11:29:49.682 T: 27.268798828125 [C]; A:[0, 64, 194]; H: 63.38934326171875
SENSE daad 23 22-04-2019 11:29:50.180 T: 25.83359909057617 [C]; A:[0, 0, 230]; H: 64.48797607421875
SENSE daac 16 22-04-2019 11:29:50.397 T: 27.268798828125 [C]; A:[0, 60, 194]; H: 63.38934326171875
SENSE daad 24 22-04-2019 11:29:50.891 T: 25.83359909057617 [C]; A:[0, 4, 230]; H: 64.48797607421875
SENSE daac 17 22-04-2019 11:29:51.121 T: 27.268798828125 [C]; A:[0, 64, 192]; H: 63.38934326171875
SENSE daad 25 22-04-2019 11:29:51.601 T: 25.83359909057617 [C]; A:[0, 0, 232]; H: 64.48797607421875
SENSE daac 18 22-04-2019 11:29:51.836 T: 27.268798828125 [C]; A:[4, 64, 192]; H: 63.38934326171875
SENSE daad 26 22-04-2019 11:29:52.316 T: 25.83359909057617 [C]; A:[4, 0, 230]; H: 64.48797607421875
