SENSE daaa 1 22-04-2019 18:17:37.141 T: 26.27039909362792 [C]; A:[-6, 6, 236]; H: 65.38824462890625
SENSE daab 1 22-04-2019 18:17:37.137 T: 26.33279991149902 [C]; A:[8, 12, 250]; H: 63.610595703125
SENSE daac 1 22-04-2019 18:17:37.355 T: 29.20319938659667 [C]; A:[0, 0, 0]; H: 60.03240966796875
SENSE daad 1 22-04-2019 18:17:37.480 T: 27.14399909973144 [C]; A:[-4, 0, 214]; H: 64.94573974609375
SENSE daac 2 22-04-2019 18:17:38.103 T: 29.20319938659667 [C]; A:[24, 6, 234]; H: 60.03240966796875
SENSE daac 3 22-04-2019 18:17:38.675 T: 29.20319938659667 [C]; A:[18, 14, 230]; H: 60.03240966796875
SENSE daac 4 22-04-2019 18:17:39.168 T: 29.26559829711914 [C]; A:[16, 8, 232]; H: 60.03240966796875
SENSE daac 5 22-04-2019 18:17:39.660 T: 29.26559829711914 [C]; A:[20, 12, 236]; H: 60.03240966796875
SENSE daac 6 22-04-2019 18:17:40.153 T: 29.20319938659667 [C]; A:[24, 8, 234]; H: 60.03240966796875
SENSE daac 7 22-04-2019 18:17:40.671 T: 29.20319938659667 [C]; A:[20, 12, 234]; H: 60.06292724609375
SENSE daac 8 22-04-2019 18:17:41.173 T: 29.20319938659667 [C]; A:[14, 6, 232]; H: 60.06292724609375
SENSE daac 9 22-04-2019 18:17:41.665 T: 29.20319938659667 [C]; A:[24, 6, 234]; H: 60.03240966796875
SENSE daaa 2 22-04-2019 18:17:37.619 T: 26.27039909362792 [C]; A:[-14, 2, 238]; H: 65.38824462890625
SENSE daaa 3 22-04-2019 18:17:42.875 T: 26.33279991149902 [C]; A:[-8, 0, 224]; H: 65.38824462890625
SENSE daaa 4 22-04-2019 18:17:43.332 T: 26.27039909362792 [C]; A:[-6, 0, 230]; H: 65.38824462890625
SENSE daad 2 22-04-2019 18:17:38.521 T: 27.20639991760253 [C]; A:[0, 0, 204]; H: 64.97625732421875
SENSE daaa 5 22-04-2019 18:17:43.789 T: 26.33279991149902 [C]; A:[-8, 0, 232]; H: 65.38824462890625
SENSE daad 3 22-04-2019 18:17:44.087 T: 27.268798828125 [C]; A:[0, 0, 196]; H: 65.03729248046875
SENSE daaa 6 22-04-2019 18:17:44.365 T: 26.33279991149902 [C]; A:[-4, 0, 234]; H: 65.38824462890625
SENSE daad 4 22-04-2019 18:17:44.662 T: 27.20639991760253 [C]; A:[0, 0, 200]; H: 65.06781005859375
SENSE daaa 7 22-04-2019 18:17:44.937 T: 26.33279991149902 [C]; A:[-6, 0, 230]; H: 65.38824462890625
SENSE daad 5 22-04-2019 18:17:45.227 T: 27.20639991760253 [C]; A:[0, 0, 198]; H: 65.03729248046875
SENSE daaa 8 22-04-2019 18:17:45.513 T: 26.33279991149902 [C]; A:[-10, 2, 230]; H: 65.38824462890625
SENSE daad 6 22-04-2019 18:17:45.802 T: 27.268798828125 [C]; A:[-4, 0, 196]; H: 65.03729248046875
SENSE daaa 9 22-04-2019 18:17:46.084 T: 26.33279991149902 [C]; A:[-6, 0, 230]; H: 65.38824462890625
SENSE daad 7 22-04-2019 18:17:46.398 T: 27.20639991760253 [C]; A:[0, 0, 208]; H: 65.03729248046875
SENSE daab 2 22-04-2019 18:17:47.204 T: 26.45759963989257 [C]; A:[2, 8, 254]; H: 63.75555419921875
SENSE daad 8 22-04-2019 18:17:46.977 T: 27.268798828125 [C]; A:[0, 0, 196]; H: 65.03729248046875
SENSE daab 3 22-04-2019 18:17:47.665 T: 26.39519882202148 [C]; A:[4, 4, 256]; H: 63.75555419921875
SENSE daab 4 22-04-2019 18:17:48.233 T: 26.39519882202148 [C]; A:[0, 8, 248]; H: 63.75555419921875
SENSE daad 9 22-04-2019 18:17:48.092 T: 27.268798828125 [C]; A:[0, -4, 208]; H: 65.03729248046875
SENSE daab 5 22-04-2019 18:17:48.695 T: 26.45759963989257 [C]; A:[0, 6, 246]; H: 63.75555419921875
SENSE daab 6 22-04-2019 18:17:49.278 T: 26.39519882202148 [C]; A:[0, 6, 252]; H: 63.75555419921875
SENSE daad 10 22-04-2019 18:17:49.097 T: 27.268798828125 [C]; A:[0, 0, 202]; H: 65.03729248046875
SENSE daab 7 22-04-2019 18:17:49.741 T: 26.45759963989257 [C]; A:[0, 6, 252]; H: 63.75555419921875
SENSE daab 8 22-04-2019 18:17:50.319 T: 26.39519882202148 [C]; A:[2, 6, 246]; H: 63.7021484375
SENSE daad 11 22-04-2019 18:17:50.152 T: 27.268798828125 [C]; A:[-4, 0, 202]; H: 65.03729248046875
SENSE daab 9 22-04-2019 18:17:50.791 T: 26.45759963989257 [C]; A:[2, 6, 246]; H: 63.7021484375
SENSE daab 10 22-04-2019 18:17:51.344 T: 26.39519882202148 [C]; A:[0, 4, 246]; H: 63.7021484375
SENSE daaa 10 22-04-2019 18:17:46.675 T: 26.33279991149902 [C]; A:[-10, 0, 230]; H: 65.38824462890625
SENSE daab 11 22-04-2019 18:17:51.801 T: 26.45759963989257 [C]; A:[0, 6, 256]; H: 63.7021484375
SENSE daac 10 22-04-2019 18:17:47.059 T: 29.26559829711914 [C]; A:[22, 6, 238]; H: 60.03240966796875
SENSE daab 12 22-04-2019 18:17:52.379 T: 26.39519882202148 [C]; A:[4, 4, 252]; H: 63.7021484375
SENSE daac 11 22-04-2019 18:17:52.712 T: 29.32799911499023 [C]; A:[18, 8, 234]; H: 60.009521484375
SENSE daab 13 22-04-2019 18:17:53.053 T: 26.39519882202148 [C]; A:[0, 8, 250]; H: 63.7021484375
SENSE daab 14 22-04-2019 18:17:53.539 T: 26.39519882202148 [C]; A:[0, 12, 252]; H: 63.7021484375
SENSE daac 12 22-04-2019 18:17:53.393 T: 29.26559829711914 [C]; A:[20, 8, 236]; H: 60.009521484375
SENSE daab 15 22-04-2019 18:17:54.002 T: 26.39519882202148 [C]; A:[2, 6, 254]; H: 63.7021484375
SENSE daac 13 22-04-2019 18:17:54.330 T: 29.32799911499023 [C]; A:[24, 8, 232]; H: 60.009521484375
SENSE daab 16 22-04-2019 18:17:54.655 T: 26.45759963989257 [C]; A:[0, 4, 246]; H: 63.671630859375
SENSE daab 17 22-04-2019 18:17:55.142 T: 26.45759963989257 [C]; A:[4, 0, 246]; H: 63.671630859375
SENSE daac 14 22-04-2019 18:17:55.001 T: 29.26559829711914 [C]; A:[22, 14, 236]; H: 60.03240966796875
SENSE daab 18 22-04-2019 18:17:55.620 T: 26.45759963989257 [C]; A:[0, 8, 250]; H: 63.671630859375
SENSE daab 19 22-04-2019 18:17:56.192 T: 26.45759963989257 [C]; A:[4, 4, 242]; H: 63.671630859375
SENSE daac 15 22-04-2019 18:17:55.961 T: 29.26559829711914 [C]; A:[22, 8, 240]; H: 60.03240966796875
SENSE daab 20 22-04-2019 18:17:56.655 T: 26.45759963989257 [C]; A:[4, 0, 248]; H: 63.671630859375
SENSE daaa 11 22-04-2019 18:17:52.160 T: 26.39519882202148 [C]; A:[-8, 2, 228]; H: 65.3348388671875
SENSE daac 16 22-04-2019 18:17:56.981 T: 29.32799911499023 [C]; A:[22, 8, 232]; H: 60.03240966796875
SENSE daab 21 22-04-2019 18:17:57.308 T: 26.51999855041503 [C]; A:[0, 4, 254]; H: 63.7021484375
SENSE daac 17 22-04-2019 18:17:57.822 T: 29.26559829711914 [C]; A:[22, 10, 238]; H: 60.03240966796875
SENSE daac 18 22-04-2019 18:17:58.345 T: 29.32799911499023 [C]; A:[24, 6, 230]; H: 60.06292724609375
SENSE daac 19 22-04-2019 18:17:58.883 T: 29.32799911499023 [C]; A:[28, 8, 232]; H: 60.09344482421875
SENSE daac 20 22-04-2019 18:17:59.385 T: 29.32799911499023 [C]; A:[24, 4, 234]; H: 60.09344482421875
SENSE daac 21 22-04-2019 18:17:59.887 T: 29.32799911499023 [C]; A:[22, 6, 258]; H: 60.09344482421875
SENSE daac 22 22-04-2019 18:18:00.390 T: 29.32799911499023 [C]; A:[20, 8, 230]; H: 60.12396240234375
